Code	Itemname
0111	Alfalfa hay farming
0111	Barley farming
0111	Bean farming (field crop)
0111	Bean farming, dry, field and seed
0111	Beet, sugar, farming
0111	Broomcorn farming
0111	Buckwheat farming
0111	Burley leaf tobacco growing, farm dried
0111	Canary seed farming
0111	Cane farming, sugar
0111	Cane, sugar, plantation
0111	Canola (rapeseed) farming
0111	Canola, burley, wheat farming, combination
0111	Cash crops (soyabean, corn), farming
0111	Cash grain farms (except wheat, rice, corn, and soybeans)
0111	Cereal grain farming, small grains (except wheat)
0111	Cereal grain farming, wheat
0111	Chickory plants and roots, growing
0111	Cigar leaf tobacco growing, farm dried
0111	Cigarette leaf tobacco growing, farm dried
0111	Clover farms
0111	Clover hay farming
0111	Combination field crop farming
0111	Corn and soyabeans
0111	Corn farming (except sweet corn)
0111	Corn farming, grain
0111	Corn for fodder, growing
0111	Corn for grain, growing
0111	Corn for popping, growing
0111	Corn for silage, growing
0111	Corn growing, grain
0111	Corn hay silage, grain
0111	Corn soyabeans wheat
0111	Cotton farming
0111	Cottonseed farming
0111	Cowpea farming, dry
0111	Crops, hay and grain farming
0111	Dark leaf tobacco, farm dried, growing
0111	Dry field beans, growing
0111	Dry field peas, growing
0111	Durum wheat, growing
0111	Echinacea farming
0111	Elite seed potatoes
0111	Faba beans (except for forage), growing
0111	Faba beans for forage, growing
0111	Faba beans, growing
0111	Farm, alfalfa
0111	Farm, field crop combination (except grain and oil seeds)
0111	Farm, forage crop
0111	Farm, hay
0111	Farm, pea (field crop)
0111	Farm, sugar beet
0111	Farm, tobacco
0111	Farm, wheat
0111	Farm, wheat, barley
0111	Feed grain farms
0111	Field bean (dry) growing
0111	Field crop combination farm (except grain and oil seeds)
0111	Field pea (dry) growing
0111	Flaxseed farming
0111	Flue cured (bright Virginia) leaf tobacco, farm dried, growing
0111	Fodder corn, growing
0111	Forage crops (except corn for grain), farming
0111	Forage seed farming (except corn for grain)
0111	Ginseng farming
0111	Ginseng farming undercover
0111	Grain (wheat bly)
0111	Grain and forage crops
0111	Grain and hay farm
0111	Grain and seeds
0111	Grain and sugar beets
0111	Grain corn farming
0111	Grain crops corn barley
0111	Grain farm wheat bly rape
0111	Grain farming, wheat
0111	Grain farms (except wheat, rice, corn and soybeans)
0111	Grain, wheat, barley
0111	Grass seed farming
0111	Grass, clover and alfalfa seed growing
0111	Hay and grain farming, combination
0111	Hay farming
0111	Herb farming, grown under cover
0111	Hop farming
0111	Hop, growing
0111	Hops and grain growing, combination
0111	Irish potatoes, growing
0111	Lawn grass seed, growing
0111	Leaf tobacco, farm dried, growing
0111	Legume (forage) farming
0111	Lentil farms
0111	Lentils farming, dry
0111	Linseed (flaxseed), growing
0111	Mangel growing
0111	Millet, growing
0111	Milo farming
0111	Mint farming
0111	Mixed grains (small grains) farming
0111	Mustard seed farming
0111	Oat farming
0111	Oats for fodder, growing
0111	Oats for grain, growing
0111	Oil seed and grain farming, combination
0111	Osier growing
0111	Pea (field crop) farm
0111	Pea farming (field crop)
0111	Peanut farming
0111	Peas, field, dry, agriculture
0111	Peppermint growing
0111	Pipe leaf tobacco, farm dried, growing
0111	Popcorn farming
0111	Potato (Irish) farms
0111	Potato farming
0111	Potato farming (except sweet and yams)
0111	Potato farms, sweet
0111	Potato farms, yam
0111	Potatoes and grain growing, combination
0111	Potatoes for seed, growing
0111	Potatoes, table, growing
0111	Pulses, dry, growing
0111	Rice (except wild rice) farming
0111	Rubber plantations
0111	Rye farming
0111	Rye, growing
0111	Safflower farming
0111	Seed farming, grass and forage
0111	Seed potatoes, growing
0111	Small grain farm (except wheat farms)
0111	Small grains (except wheat), growing
0111	Small grains farming
0111	Soft spring wheat, farming
0111	Sorghum farms (except for syrup)
0111	Soya bean farming
0111	Soybean farming
0111	Soybeans (soya beans), growing
0111	Spring wheat, growing
0111	Sugar beet farming
0111	Sugarcane farming
0111	Sunflower farming
0111	Sweet potato farming
0111	Table potatoes, growing
0111	Tame hay, growing
0111	Timothy farming
0111	Tobacco and grain growing, combination
0111	Tobacco and rye growing, combination
0111	Tobacco farming
0111	Tobacco growing
0111	Tobacco leaf, farm dried, growing
0111	Tobacco, corn and beans growing, combination
0111	Tung nut groves and farms
0111	Turnip farming (for livestock feed)
0111	Utility wheat, growing
0111	Wheat and sugar beets growing, combination
0111	Wheat canola and barley
0111	Wheat farming
0111	Wheat rapeseed
0111	Wheat, spring, winter and durum, growing
0111	Wild rice, farming
0111	Winter wheat, growing
0111	Yam farming
0112	Aquaculture plants, greenhouse grown
0112	Artichoke growing (except Jerusalem artichokes)
0112	Asparagus farming
0112	Asparagus growing
0112	Azaleas farming
0112	Bean farms (except dry beans)
0112	Bean growing, snap (wax and green)
0112	Bean sprout farming, grown under cover
0112	Bedding plants, growing of
0112	Bedding plants, nursery grown
0112	Beet farming (except sugar beet)
0112	Beet growing, table
0112	Bok choy farms
0112	Broadleaf shrubs, ornamental, growing
0112	Broccoli farming
0112	Broccoli growing
0112	Brussel sprout farming
0112	Cabbage farming
0112	Cabbage growing
0112	Cantaloup and other melon farms
0112	Cantaloup farms
0112	Carnation growing, greenhouse
0112	Carrot farming
0112	Cauliflower farming
0112	Cauliflower growing
0112	Celery farming
0112	Celery growing
0112	Chrysanthemums, greenhouse grown
0112	Corn farms, sweet
0112	Corn, sweet, growing
0112	Cucumber farming
0112	Cucumber, growing
0112	Cukes tomatoes peppers cabbage
0112	Culture, flower
0112	Cut flowers, greenhouse, grown
0112	Evergreen shrubs and trees, ornamental, growing
0112	Farm, vegetable (except potato)
0112	Field nurseries (i.e., growing of flowers and shrubbery)
0112	Floral plants (except shrubs and trees), greenhouse, growing
0112	Florists' greens, greenhouse, growing
0112	Flower bulb growing, greenhouse
0112	Flower farm
0112	Flower growing, greenhouse
